Algorithm,Accuracy,Average Iteration Time
KTree,0.7775,164.2278076171875
KStarTree,0.7775,64.46766357421875
kNN,0.775,2.3722157796223957
AD-kNN,0.7783333333333333,3.3303438313802083
S-kNN,0.7775,48.83273620605469
GS-kNN,0.6375,1560.661875
FASBIR,0.795,156.491357421875
LC-kNN,0.7675,95.29721354166666
